SPAC13D1.01c	unknown
SPAC13D6.01	viable
SPAC13D6.02c	viable
SPAC13D6.03c	viable
SPAC13D6.04c	viable
SPAC13D6.05	inviable
SPAC13F5.01c	viable
SPAC13F5.02c	inviable
SPAC13F5.03c	viable
SPAC13F5.04c	viable
SPAC13F5.05	viable
SPAC13F5.06c	inviable
SPAC13F5.07c	viable
SPAC13G6.01c	viable
SPAC13G6.02c	viable
SPAC13G6.03	viable
SPAC13G6.04	viable
SPAC13G6.05c	inviable
SPAC13G6.06c	viable
SPAC13G6.07c	viable
SPAC13G6.08	viable
SPAC13G6.09	viable
SPAC13G6.10c	viable
SPAC13G6.11c	inviable
SPAC13G6.12c	viable
SPAC13G6.13	viable
SPAC13G6.14	viable
SPAC13G6.15c	viable
SPAC13G7.01c	inviable
SPAC13G7.02c	viable
SPAC13G7.03	viable
SPAC13G7.04c	viable
SPAC13G7.05	viable
SPAC13G7.06	viable
SPAC13G7.07	viable
SPAC13G7.08c	inviable
SPAC13G7.09c	viable
SPAC13G7.10	inviable
SPAC13G7.11	viable
SPAC13G7.12c	viable
SPAC13G7.13c	viable
SPAC140.01	viable
SPAC140.02	viable
SPAC140.03	viable
SPAC140.04	viable
SPAC1420.01c	viable
SPAC1420.02c	inviable
SPAC1420.03	viable
SPAC1420.04c	viable
SPAC144.01	viable
SPAC144.02	viable
SPAC144.03	viable
SPAC144.04c	viable
SPAC144.05	viable
SPAC144.06	viable
SPAC144.07c	inviable
SPAC144.08	condition-dependent
SPAC144.09c	inviable
SPAC144.10c	inviable
SPAC144.11	viable
SPAC144.12	inviable
SPAC144.13c	viable
SPAC144.14	viable
SPAC144.15c	inviable
SPAC144.16	inviable
SPAC144.17c	viable
SPAC144.18	inviable
SPAC144.19	viable
SPAC1486.01	viable
SPAC1486.02c	viable
SPAC1486.03c	inviable
SPAC1486.04c	viable
SPAC1486.05	inviable
SPAC1486.06	inviable
SPAC1486.07c	inviable
SPAC1486.08	viable
SPAC1486.09	inviable
SPAC1486.10	viable
SPAC1486.11	viable
SPAC14C4.01c	viable
SPAC14C4.02c	inviable
SPAC14C4.03	viable
SPAC14C4.04	viable
SPAC14C4.05c	viable
SPAC14C4.06c	viable
SPAC14C4.07	viable
SPAC14C4.08	viable
SPAC14C4.09	viable
SPAC14C4.10c	viable
SPAC14C4.11	viable
SPAC14C4.12c	viable
SPAC14C4.13	viable
SPAC14C4.14	viable
SPAC14C4.15c	viable
SPAC14C4.16	viable
SPAC1527.01	viable
SPAC1527.02	viable
SPAC1527.03	viable
SPAC1556.01c	viable
SPAC1556.02c	viable
SPAC1556.03	viable
SPAC1556.04c	viable
SPAC1556.05c	viable
SPAC1556.06	viable
SPAC1556.07	inviable
SPAC1556.08c	viable
SPAC1565.01	viable
